리스크지표,거시변수,β계수,p값,유의성
부채비율,한국금리,-15.9724,0.383,
부채비율,환율,-0.3638,0.302,
부채비율,PPI,2.4069,0.325,
부채비율,유가,-2.4272,0.273,
유동비율,한국금리,-3.6124,0.328,
유동비율,환율,-0.021,0.651,
유동비율,PPI,-0.1166,0.628,
유동비율,유가,0.4459,0.028,**
이자보상배율,한국금리,0.267,0.585,
이자보상배율,환율,-0.0017,0.657,
이자보상배율,PPI,-0.0624,0.26,
이자보상배율,유가,0.0881,0.147,
영업이익률,한국금리,0.2472,0.566,
영업이익률,환율,-0.0033,0.583,
영업이익률,PPI,-0.0067,0.873,
영업이익률,유가,0.0217,0.531,
Z-score,한국금리,0.1432,0.092,*
Z-score,환율,-0.0004,0.736,
Z-score,PPI,0.0003,0.956,
Z-score,유가,0.0014,0.761,
