리스크지표,거시변수,β계수,p값,유의성
부채비율,한국금리,-40.3941,0.259,
부채비율,환율,0.2043,0.702,
부채비율,PPI,0.1382,0.878,
부채비율,유가,2.3321,0.232,
유동비율,한국금리,-10.2067,0.238,
유동비율,환율,0.1368,0.184,
유동비율,PPI,0.2598,0.503,
유동비율,유가,0.3273,0.337,
이자보상배율,한국금리,0.7775,0.075,*
이자보상배율,환율,-0.0083,0.16,
이자보상배율,PPI,0.0479,0.295,
이자보상배율,유가,-0.0779,0.165,
영업이익률,한국금리,-47.0589,0.336,
영업이익률,환율,-1.6079,0.329,
영업이익률,PPI,16.3505,0.322,
영업이익률,유가,-26.2233,0.318,
Z-score,한국금리,0.2089,0.005,***
Z-score,환율,-0.0018,0.319,
Z-score,PPI,0.0033,0.496,
Z-score,유가,-0.0046,0.454,
